rank,bag_name,event_start_rel_s,event_end_rel_s,window_start_rel_s,window_end_rel_s,paper_eligible,score,pre_risk,event_peak_risk,post_risk,risk_rise,risk_recovery,pre_lateral,event_lateral_p90,post_lateral,lateral_increase,event_forward,event_delta_y_w,moving_fraction,reconstruction_error_max
11,pcr_avoid_intention_debug2.bag,98.35656452178955,98.96081471443176,95.46099972724915,102.94957280158997,False,5.6838985064199985,0.11743490397930145,0.7001729011535645,0.40189045667648315,0.582737997174263,0.2982824444770813,0.13080000132322311,0.20000000298023224,0.14429999887943268,0.06920000165700912,0.23425714245864324,0.05558814321245466,1.0,5.885958664908486e-08
12,pcr_avoid_intention_debug6.bag,38.21686768531799,39.01540923118591,36.39673709869385,42.89837837219238,False,5.507499638334331,0.0013248412869870663,0.6713243126869202,0.3878508061170578,0.6699994713999331,0.28347350656986237,0.1468999981880188,0.19252000451087953,0.17315000295639038,0.04562000632286073,0.1454777775539292,0.04882420698801676,1.0,5.364418032005602e-08
13,pcr_avoid_intention_debug6.bag,18.60480308532715,21.111054182052612,17.201565742492676,25.012120723724365,False,5.373792469865859,5.8646669742756785e-09,0.5487940907478333,0.414089173078537,0.5487940848831663,0.13470491766929626,0.11680000275373459,0.24894999712705612,0.2430500015616417,0.13214999437332153,0.15845000027463987,0.05883415020429172,1.0,5.066394803687757e-08
14,pcr_avoid_intention_debug4.bag,26.4925434589386,27.49639630317688,25.5481960773468,31.394715547561646,False,5.291342320496386,0.3082806468009949,0.7215328812599182,0.4141106903553009,0.41325223445892334,0.3074221909046173,0.12080000340938568,0.22840000689029694,0.1721000000834465,0.10760000348091125,0.19894545457579874,0.0645671400156888,1.0,5.662441249221217e-08
15,pcr_avoid_intention_debug.bag,70.11126184463501,70.90154814720154,67.19900488853455,74.79618954658508,False,4.910807401221267,2.736225290789207e-08,0.5086213946342468,0.04146605730056763,0.5086213672719939,0.4671553373336792,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.0,0.16361111402511597,0.05728566249211629,1.0,6.332993507385254e-08
16,pcr_real_20260618_154442.bag,273.01425075531006,273.6194713115692,270.0188446044922,277.5024404525757,False,4.7174485497752485,3.5670622310135514e-05,0.3625641167163849,0.07731565088033676,0.36252844609407475,0.2852484658360481,0.15960000455379486,0.22406000196933745,0.18569999933242798,0.06445999741554259,0.37281428490366253,0.05598130396434239,1.0,5.4016709327697754e-08
17,pcr_real_20260618_143745.bag,88.69667387008667,91.68398308753967,85.78404068946838,95.58493971824646,False,4.696071677727084,0.5151923298835754,0.7128205299377441,0.05275958403944969,0.1976282000541687,0.6600609458982944,0.21535000205039978,0.22130000591278076,0.18005000054836273,0.0059500038623809814,0.428783870993122,0.06580636693585304,1.0,5.885958664908486e-08
18,pcr_avoid_intention_debug.bag,71.09963274002075,71.49670839309692,68.1063826084137,75.40658187866211,False,4.679891568024849,1.3192515524451665e-08,0.41925105452537537,0.040437258780002594,0.41925104133285984,0.37881379574537277,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.0,0.4421999931335449,0.061327064037323,1.0,6.332993507385254e-08
19,pcr_real_20260618_153529.bag,163.20935916900635,163.9040858745575,160.30909323692322,167.80175733566284,False,4.657166363298893,0.07967942953109741,0.5117948055267334,0.24211535602808,0.432115375995636,0.2696794494986534,0.17729999870061874,0.19609000235795973,0.18299999833106995,0.018790003657340987,0.5069250054657459,0.0507872074842453,1.0,5.159527061149305e-08
20,pcr_avoid_intention_debug3.bag,220.29239630699158,220.71326565742493,217.30194354057312,224.70688223838806,False,4.593710333975614,8.385832188650966e-07,0.44547826051712036,0.40064647793769836,0.4454774219339015,0.044831782579422,0.12210000306367874,0.2160400003194809,0.18060000240802765,0.09393999725580215,0.39930000305175783,0.06341204166412354,1.0,5.410984160736376e-08
21,pcr_avoid_intention_debug5.bag,43.31145787239075,44.10381555557251,40.40368175506592,48.00363779067993,False,4.531123817950792,7.430904958027895e-08,0.46716928482055664,0.3294074833393097,0.46716921051150706,0.13776180148124695,0.14685000479221344,0.24233999252319335,0.17845000326633453,0.09548998773097991,0.09109999984502792,0.06279024283091227,1.0,5.5134296350622947e-08
22,pcr_avoid_intention_debug4.bag,135.21442246437073,137.1952669620514,132.68816804885864,138.91288304328918,False,4.355992544974599,0.24450572580099106,0.6856743097305298,0.5516490936279297,0.4411685839295387,0.1340252161026001,0.15924999862909317,0.249099999666214,0.16465000063180923,0.08985000103712082,0.08715714354600225,0.06421148777008055,1.0,4.768371586472142e-08
23,pcr_real_20260618_143745.bag,201.6877784729004,202.37115836143494,198.7863483428955,206.29209303855896,False,4.333432518697009,4.562422509479802e-05,0.3461538255214691,0.1544540897011757,0.3461082012963743,0.19169973582029343,0.1930999979376793,0.20804000049829482,0.19995000213384628,0.014940002560615534,0.7029499858617783,0.07824418991804122,1.0,5.662441249221217e-08
24,pcr_avoid_intention_debug5.bag,54.31588912010193,59.50985264778137,51.41481852531433,60.905423641204834,False,4.2196791083692515,0.41573138535022736,0.7366582751274109,0.02171763777732849,0.32092688977718353,0.7149406373500824,0.22099999338388443,0.18877999484539032,0.05849999934434891,-0.03221999853849411,0.19109811391769294,0.04972194995520249,1.0,5.81145286338014e-08
25,pcr_real_20260618_143745.bag,23.591424703598022,24.687921285629272,20.68843960762024,28.573856115341187,False,4.185579386322448,0.0008116676472127438,0.43641021847724915,0.3035416454076767,0.4355985508300364,0.13286857306957245,0.22964999824762344,0.22346999496221542,0.2090499997138977,-0.00618000328540802,0.683966671427091,0.0786330133676529,1.0,5.21540641784668e-08
26,pcr_avoid_intention_debug2.bag,64.65194535255432,65.04857325553894,61.65612506866455,69.04314875602722,False,4.180846180766821,0.052473485469818115,0.34140244126319885,0.005078543908894062,0.28892895579338074,0.3363238973543048,0.13379999995231628,0.17363999783992767,0.12470000237226486,0.03983999788761139,0.32773999571800233,0.0652886152267456,1.0,5.8300793193133416e-08
