time_s,stamp_s,risk_F,risk_A,front_distance_risk,conflict_score,high_risk_conflict,y,w,signed_w_active,delta_y_r,delta_y_w,y_risk,y_eff,y_eff_reconstructed,y_eff_reconstruction_abs_error,cmd_safe_x,cmd_safe_x_abs,cmd_safe_x_abs_pre_conflict_baseline,cmd_safe_x_abs_delta_from_pre_conflict,cmd_safe_y,cmd_safe_yaw,target_valid,depth_invalid,safety_clear,risk_source_real
3.2030158042907715,1781764782.7682164,0.11282052844762802,0.0,0.11282052844762802,0.05641026422381401,0.0,0.6634150147438049,0.6029537320137024,0.20590746402740479,-0.016923079267144203,0.06177223920822143,0.6464919354766607,0.708264172077179,0.7082641746848821,2.607703164514419e-09,-0.1873999983072281,0.1873999983072281,0.1895500048995018,-0.002150006592273712,0.708299994468689,-0.34049999713897705,1.0,0.0,1.0,1.0
3.3001887798309326,1781764782.8653893,0.08461539447307587,0.0,0.019999895244836807,0.04230769723653793,0.0,0.663398265838623,0.6029771566390991,0.20595431327819824,-0.01269230917096138,0.06178629398345947,0.6507059566676616,0.7124922275543213,0.7124922506511211,2.3096799806054946e-08,-0.18469999730587006,0.18469999730587006,0.1895500048995018,-0.004850007593631744,0.7124999761581421,-0.3425999879837036,1.0,0.0,1.0,1.0
3.391641616821289,1781764782.9568422,0.07835894078016281,0.0,0.07835894078016281,0.039179470390081406,0.0,0.663573145866394,0.6033660769462585,0.2067321538925171,-0.01175384111702442,0.06201964616775513,0.6518193047493697,0.7138389348983765,0.7138389509171248,1.601874832779515e-08,-0.18240000307559967,0.18240000307559967,0.1895500048995018,-0.00715000182390213,0.7138000130653381,-0.3433000147342682,1.0,0.0,1.0,1.0
3.513185739517212,1781764783.0783863,0.05876920372247696,0.0,0.0,0.02938460186123848,0.0,0.6626760363578796,0.602977991104126,0.20595598220825195,-0.008815380558371543,0.06178679466247558,0.6538606557995081,0.7156473994255066,0.7156474504619837,5.1036477155541604e-08,-0.18039999902248383,0.18039999902248383,0.1895500048995018,-0.009150005877017975,0.7156000137329102,-0.3440999984741211,1.0,0.0,1.0,1.0
3.592921257019043,1781764783.1581218,0.06410249322652817,0.0,0.06410249322652817,0.032051246613264084,0.0,0.6627697944641113,0.6028802394866943,0.20576047897338867,-0.009615373983979224,0.061728143692016596,0.6531544204801321,0.7148825526237488,0.7148825641721487,1.1548399903027473e-08,-0.18119999766349792,0.18119999766349792,0.1895500048995018,-0.008350007236003876,0.714900016784668,-0.34369999170303345,1.0,0.0,1.0,1.0
3.7008235454559326,1781764783.266024,0.04807686805725098,0.0,0.0,0.02403843402862549,0.0,0.6619282960891724,0.6025334596633911,0.20506691932678223,-0.007211530208587646,0.06152007579803467,0.6547167658805847,0.7162368893623352,0.7162368416786193,4.768371586472142e-08,-0.18970000743865967,0.18970000743865967,0.1895500048995018,0.00015000253915786743,0.7161999940872192,-0.34439998865127563,1.0,0.0,1.0,1.0
3.7908694744110107,1781764783.35607,0.03605765104293823,0.0,0.02461531199514866,0.018028825521469116,0.0,0.6606283783912659,0.6016889214515686,0.2033778429031372,-0.005408647656440735,0.06101335287094116,0.6552197307348251,0.7162330746650696,0.7162330836057662,8.940696627490752e-09,-0.1898999959230423,0.1898999959230423,0.1895500048995018,0.0003499910235404968,0.7161999940872192,-0.34439998865127563,1.0,0.0,1.0,1.0
3.8860082626342773,1781764783.4512088,0.027043238282203674,0.0,0.0,0.013521619141101837,0.0,0.658906877040863,0.600650429725647,0.20130085945129395,-0.004056485742330551,0.06039025783538818,0.6548503912985325,0.7152405977249146,0.7152406491339207,5.1409006163183335e-08,-0.18960000574588776,0.18960000574588776,0.1895500048995018,5.000084638595581e-05,0.7152000069618225,-0.34389999508857727,1.0,0.0,1.0,1.0
4.000761985778809,1781764783.5659626,0.08820509165525436,0.0,0.08820509165525436,0.04410254582762718,0.0,0.6589962244033813,0.6006644368171692,0.20132887363433838,-0.013230763748288155,0.06039866209030151,0.6457654606550932,0.7061641216278076,0.7061641227453948,1.1175871339474952e-09,-0.19619999825954437,0.19619999825954437,0.1895500048995018,0.006649993360042572,0.7062000036239624,-0.3395000100135803,1.0,0.0,1.0,1.0
4.097851753234863,1781764783.6630523,0.06615381687879562,0.0,0.019999895244836807,0.03307690843939781,0.0,0.659457802772522,0.6012523174285889,0.20250463485717773,-0.009923072531819344,0.06075139045715332,0.6495347302407026,0.7102860808372498,0.7102861206978559,3.986060614913356e-08,-0.19429999589920044,0.19429999589920044,0.1895500048995018,0.004749990999698639,0.7103000283241272,-0.3416000008583069,1.0,0.0,1.0,1.0
